,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deal name masked,Customer Name Code,Serial #,Nature of Work,Last executed month of recurring project,Execution Status,Data Delivery Date,Date of PO/LOI,Document Type,Probable Start Date,Probable End Date,BD/KAM Personnel code,Sector,Type of Work,Is any Skylark software platform part of the client deliverables in this deal?,Last invoice date,latest invoice no.,Amount in Rupees (Excl of GST) (Masked),Amount in Rupees (Incl of GST) (Masked),Billed Value in Rupees (Excl of GST.) (Masked),Billed Value in Rupees (Incl of GST.) (Masked),Collected Amount in Rupees (Incl of GST.) (Masked),Amount to be billed in Rs. (Exl. of GST) (Masked),Amount to be billed in Rs. (Incl. of GST) (Masked),Amount Receivable (Masked),AR Priority account,Quantity by Ops,Quantities as per PO,Quantity billed (till date),Balance in quantity,Invoice Status,Expected Billing Month,Actual Billing Month,Actual Collection Month,WO Status (billed),Collection status,Collection Date,Billing Status
Scooby-Doo,WOCOMPANY_002,SDPLDEAL-075,One time Project,,Completed,2025-09-27,2025-10-29,Purchase Order,2025-05-31,2025-06-03,OWNER_003,Mining,Raw images/videography,NONE,2026-01-14,SDPL/FY25-26/916,264398.08,311989.7344,,0,,264398.08,311989.7344,0,,,5360 HA,,5360,,,,,,,,Update Required
Appa,WOCOMPANY_038,SDPLDEAL-101,Proof of Concept,,Not Started,,2025-07-31,Purchase Order,2025-08-11,2025-08-15,OWNER_002,Powerline,Powerline Inspection,,,,154150,181897,,0,,154150,181897,0,,,4,,4,,,,,Open,,,
Sakura,WOCOMPANY_002,SDPLDEAL-002,Monthly Contract,Dec,Executed until current month,2025-12-31,2025-05-16,Purchase Order,2025-05-01,2026-04-30,OWNER_003,Mining,Volumetric survey,NONE,,,2984097.36,3521234.885,23959.68248,28272.42533,,2960137.678,3492962.459,28272.42533,,,3000,,3000,,,,,Open,,,Partially Billed
Sakura,WOCOMPANY_002,SDPLDEAL-003,One time Project,,Completed,,2025-05-08,Purchase Order,2025-05-20,2025-05-31,OWNER_003,Mining,Topography Survey: RGB,NONE,2025-09-15,SDPL/FY25-26/449,184980,218276.4,184980,218276.4,66880.1356,0,0,151396.2644,,,600,,600,Not billed yet,,,,Open,,,
SpongeBob,WOCOMPANY_032,SDPLDEAL-004,One time Project,,Completed,,2025-05-06,LOA/LOI,2025-05-24,2025-06-20,OWNER_003,Powerline,Powerline Inspection,NONE,,,1132250.248,1336055.293,1215157.544,1433885.902,,-82907.29608,-97830.60937,1433885.902,Priority,,59.33,,59.33,,,,,Open,,,BIlled
Edward Elric,WOCOMPANY_008,SDPLDEAL-005,One time Project,,Completed,,2025-05-16,Purchase Order,2025-05-20,2025-05-31,OWNER_003,Renewables,Hydrology,NONE,2025-07-18,SDPL/FY25-26/359,135652,160069.36,135652,160069.36,160069.36,0,0,0,,,1,1,0,Fully Billed,,,,Closed,,,
Pumbaa,WOCOMPANY_047,SDPLDEAL-001,Annual Rate Contract,June,Ongoing,,2025-05-15,Purchase Order,2025-05-19,2025-11-19,OWNER_005,Renewables,Others,SPECTRA,2025-09-06,SDPL/FY25-26/431,3995568,4714770.24,3662604,4321872.72,1405108.08,332964,392897.52,2916764.64,,,12,2,10,Partially Billed,,,,Open,,,
Sakura,WOCOMPANY_002,SDPLDEAL-006,Monthly Contract,November,Executed until current month,,2025-05-21,Purchase Order,2025-05-01,2026-04-30,OWNER_003,Mining,Topography Survey: RGB,NONE,2025-06-16,SDPL/FY25-26/064,727588,858553.84,151417.1918,178672.2863,178672.182,576170.8082,679881.5537,0.10432872,,,1600,,1600,Partially Billed,,,,Open,,,
Sakura,WOCOMPANY_002,SDPLDEAL-007,Monthly Contract,Dec,Executed until current month,,2025-05-22,Purchase Order,2025-05-20,2026-04-30,OWNER_003,Mining,Topography Survey: RGB,NONE,2025-09-06,SDPL/FY25-26/435,2293752,2706627.36,1742808.444,2056513.963,1225606.682,550943.5564,650113.3966,830907.2814,,,4800,,4800,Partially Billed,,,,Open,,,
Alias_160,WOCOMPANY_051,SDPLDEAL-008,One time Project,,Completed,2025-05-28,2025-04-10,Purchase Order,2025-04-20,2025-05-31,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-07-23,SDPL/FY25-26/365,126649.64,149446.5752,81360.37,96005.2366,,45289.27,53441.3386,96005.2366,,447.170583,460,,460,Fully Billed,,July,,Closed,,,
Alias_160,WOCOMPANY_051,SDPLDEAL-009,One time Project,,Completed,2025-05-30,2025-04-10,Purchase Order,2025-04-15,2025-05-31,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-06,SDPL/FY25-26/385,1198053.8,1413703.484,680159.9172,802588.7024,397840.8515,517893.8828,611114.7816,404747.8508,,2424.42,2500,,2500,Fully Billed,,August,,Closed,,,
Alias_160,WOCOMPANY_051,SDPLDEAL-010,One time Project,,Completed,2025-06-10,2025-04-10,Purchase Order,2025-04-14,2025-05-31,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-06-27,SDPL/FY25-26/096,112652.82,132930.3276,112652.82,132930.3276,,0,0,132930.3276,,629.83,630,,630,Fully Billed,,June,,Closed,,,
Alias_160,WOCOMPANY_051,SDPLDEAL-011,One time Project,,Completed,2025-05-20,2025-04-10,Purchase Order,2025-04-10,2025-05-31,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-06,SDPL/FY25-26/382,643730.4,759601.872,593662.48,700521.7264,641154.9235,50067.92,59080.1456,59366.80294,,3319.81,3600,,3600,Fully Billed,,August,,Closed,,,
Alias_160,WOCOMPANY_051,SDPLDEAL-012,One time Project,,Completed,2025-06-17,2025-04-10,Purchase Order,2025-04-14,2025-06-16,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-07-23,SDPL/FY25-26/366,770750,909485,380158.564,448587.1055,371722.8964,390591.436,460897.8945,76864.20912,,2125.654959,2500,,2500,Fully Billed,,July,,Closed,,,
Alias_160,WOCOMPANY_051,SDPLDEAL-013,One time Project,,Completed,2025-05-13,2025-04-10,Purchase Order,2025-04-15,2025-05-31,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-06,SDPL/FY25-26/383,214576.8,253200.624,172555.51,203615.5018,186359.8768,42021.29,49585.1222,17255.62499,,964.831248,1200,,1200,Fully Billed,,August,,Closed,,,
Alias_160,WOCOMPANY_051,SDPLDEAL-014,One time Project,,Completed,2025-05-30,2025-04-10,Purchase Order,2025-04-09,2025-06-20,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-09-24,SDPL/FY25-26/475,250339.6,295400.728,177469.3187,209413.7961,191666.4104,72870.28128,85986.93191,17747.38569,,922.484,1400,,1400,Fully Billed,,September,,Closed,,,
Alias_160,WOCOMPANY_051,SDPLDEAL-015,One time Project,,Completed,2025-05-03,2025-04-10,Purchase Order,2025-04-22,2025-06-20,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-06,SDPL/FY25-26/384,109791.796,129554.3193,109791.796,129554.3193,118573.9065,0,0,10980.4128,,613.57,614,,614,Fully Billed,,August,,Closed,,,
Alias_160,WOCOMPANY_051,SDPLDEAL-016,One time Project,,Completed,2025-05-06,2025-04-10,Purchase Order,2025-04-25,2025-06-13,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-09-08,SDPL/FY25-26/437,210799.5084,248743.4199,210799.5084,248743.4199,189719.4712,0,0,59023.94868,Priority,1213.9,1178.88,,1178.88,Fully Billed,,September,,Closed,,,
Alias_160,WOCOMPANY_051,SDPLDEAL-017,One time Project,,Completed,2025-05-13,2025-04-10,Purchase Order,2025-04-25,2025-05-31,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-07-10,SDPL/FY25-26/133,62584.9,73850.182,62584.9,73850.182,67591.91398,0,0,6258.268024,,348.2,350,,350,Fully Billed,,July,,Closed,,,
Alias_160,WOCOMPANY_051,SDPLDEAL-018,One time Project,,Completed,2025-05-06,2025-04-10,Purchase Order,2025-04-28,2025-05-31,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-06-29,SDPL/FY25-26/099,260360.5832,307225.4882,260353.184,307216.7571,281181.8333,7.3992,8.731056,26034.92378,,1437.2,1456,,1456,Fully Billed,,July,,Closed,,,
Alias_160,WOCOMPANY_051,SDPLDEAL-019,One time Project,,Completed,2025-06-14,2025-04-10,Purchase Order,2025-05-01,2025-05-30,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-06-27,SDPL/FY25-26/110,157535.134,185891.4581,157399.2354,185731.0977,185891.3348,135.89864,160.3603952,-160.2370752,,880.27,881,,881,Fully Billed,,July,,Closed,,,
Alias_160,WOCOMPANY_051,SDPLDEAL-020,One time Project,,Completed,2025-06-03,2025-04-10,Purchase Order,2025-05-02,2025-05-30,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-07-19,SDPL/FY25-26/360,227987.85,269025.663,215828.498,254677.6276,233094.3832,12159.352,14348.03536,21583.24442,,1206.67,1275,1207,68,Fully Billed,,July,,Closed,,,
Mojo Jojo,WOCOMPANY_036,SDPLDEAL-021,One time Project,,Completed,2025-06-24,2025-04-10,Purchase Order,2025-05-01,2025-05-31,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-08,SDPL/FY25-26/399,151275.4108,178504.9847,125206.796,147744.0193,147743.526,26068.6148,30760.96546,0.49328,,383.54,446.07,,446.07,Fully Billed,,August,,Closed,,,
Mojo Jojo,WOCOMPANY_036,SDPLDEAL-022,One time Project,,Completed,2025-05-07,2025-04-10,Purchase Order,2025-05-01,2025-05-31,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-05,SDPL/FY25-26/143,1164911.55,1374595.629,1138011.758,1342853.875,1342853.678,26899.7916,31741.75409,0.1973119999,,3352.936219,3435,,3435,Fully Billed,,August,,Closed,,,
Mojo Jojo,WOCOMPANY_036,SDPLDEAL-024,One time Project,,Completed,2025-06-07,2025-04-10,Purchase Order,2025-05-01,2025-05-31,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-06,SDPL/FY25-26/389,371860.3612,438795.2262,365246.7096,430991.1173,430990.772,6613.6516,7804.108888,0.345296,,,662.27,,662.27,Fully Billed,,August,,Closed,,,
Mojo Jojo,WOCOMPANY_036,SDPLDEAL-023,One time Project,,Completed,2025-06-24,2025-04-10,Purchase Order,2025-05-01,2025-05-31,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-07,SDPL/FY25-26/394,440190.74,519425.0732,396450.3692,467811.4357,467810.7204,43740.3708,51613.63754,0.715256,,1073.63,1180,,1180,Fully Billed,,September,,Closed,,,
Alias_160,WOCOMPANY_051,SDPLDEAL-025,One time Project,,Completed,2025-07-10,2025-04-10,Purchase Order,2025-05-07,2025-06-15,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-07-25,SDPL/FY25-26/371,170274.09,200923.4262,170274.09,200923.4262,,0,0,200923.4262,,952.24,952.24,,952.24,Fully Billed,,July,,Closed,,,
Tanjiro,WOCOMPANY_005,SDPLDEAL-026,One time Project,,Completed,2025-06-11,2025-04-10,Purchase Order,2025-05-01,2025-05-30,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-07,SDPL/FY25-26/395,183130.2,216093.636,179510.758,211822.6944,17951.6924,3619.442,4270.94156,193871.002,,808.664192,825,,825,Fully Billed,,July,,Closed,,,
Tanjiro,WOCOMPANY_005,SDPLDEAL-027,One time Project,,Completed,2025-06-16,2025-04-10,Purchase Order,2025-05-01,2025-05-30,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-08,SDPL/FY25-26/398,937848.6,1106661.348,937848.6,1106661.348,,0,0,1106661.348,,4178.438199,4225,,4225,Fully Billed,,August,,Closed,,,
Tanjiro,WOCOMPANY_005,SDPLDEAL-028,One time Project,,Completed,2025-06-16,2025-04-10,Purchase Order,2025-05-01,2025-05-30,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-07,SDPL/FY25-26/396,355161.6,419090.688,336437.9244,396996.7508,,18723.6756,22093.93721,396996.7508,,1505.64583,1600,,1600,Fully Billed,,August,,Closed,,,
Tanjiro,WOCOMPANY_005,SDPLDEAL-029,One time Project,,Completed,2025-06-13,2025-04-10,Purchase Order,2025-05-01,2025-05-30,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-06,SDPL/FY25-26/392,358830.8633,423420.4187,358830.37,423419.8366,,0.49328,0.5820704,423419.8366,,1626.320549,1616.53,,1616.53,Fully Billed,,August,,Closed,,,
Armin,WOCOMPANY_020,SDPLDEAL-030,One time Project,,Completed,2025-05-09,2025-04-10,Purchase Order,2025-04-15,2025-05-30,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-06-24,SDPL/FY25-26/084,135488.712,159876.6801,135489.2176,159877.2768,159876.9808,-0.505612,-0.59662216,0.295968,,396.22,406,,406,Fully Billed,,June,,Closed,,,
Armin,WOCOMPANY_020,SDPLDEAL-031,One time Project,,Completed,2025-05-09,2025-04-10,Purchase Order,2025-04-15,2025-05-30,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-06-24,SDPL/FY25-26/086,236813.8624,279440.3576,236813.8624,279440.3576,4737.9544,0,0,274702.4032,,705.02,711.23,,711.23,Fully Billed,,June,,Closed,,,
Armin,WOCOMPANY_020,SDPLDEAL-032,One time Project,,Completed,2025-05-09,2025-04-10,Purchase Order,2025-04-15,2025-05-30,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-06-24,SDPL/FY25-26/085,382095.9212,450873.187,382095.9212,450873.187,450873.9516,0,0,-0.764584,,1144.13,1147.56,,1147.56,Fully Billed,,June,,Closed,,,
Jessie,WOCOMPANY_043,SDPLDEAL-033,Annual Rate Contract,June,Completed,2025-06-15,2025-04-10,Purchase Order,2025-04-21,2025-05-31,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-21,SDPL/FY25-26/418,755939.268,892008.3362,545913.7159,644178.1848,383312.436,210025.5521,247830.1515,260865.7488,Priority,6539.578,5838,,5838,Partially Billed,,August,,Closed,,,
Naruto,WOCOMPANY_001,SDPLDEAL-034,One time Project,,Completed,,2025-05-27,Purchase Order,2025-05-27,2025-06-30,OWNER_003,Renewables,Hydrology,NONE,2025-09-16,SDPL/FY25-26/455,308300,363794,308300,363794,120853.6,0,0,242940.4,Priority,,1,,1,Fully Billed,,,,Closed,,,
Inosuke,WOCOMPANY_045,SDPLDEAL-035,Proof of Concept,,Ongoing,,2025-05-13,LOA/LOI,2025-06-01,2025-06-30,OWNER_003,Railways,Road/rail survey,NONE,,,1.2332,1.455176,,0,,1.2332,1.455176,0,,,1,,1,,,,,Open,,,Not Billable
Alias_162,WOCOMPANY_052,SDPLDEAL-037,Annual Rate Contract,Dec,Completed,2025-06-18,2025-04-25,Purchase Order,2025-06-04,2025-06-30,OWNER_001,Mining,Topography Survey: RGB,NONE,,,2250751.549,2655886.828,2158261.919,2546749.065,,92489.63004,109137.7634,2546749.065,Priority,,300,,300,Partially Billed,,July,,Open,,,
Alias_162,WOCOMPANY_052,SDPLDEAL-038,One time Project,,Completed,2025-06-22,2025-04-10,Purchase Order,2025-06-12,2025-06-30,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-01,SDPL/FY25-26/372,476015.2,561697.936,476382.6936,562131.5784,562132.0224,-367.4936,-433.642448,-0.443952,,,643,,643,Fully Billed,,July,,Closed,,,
Alphonse,WOCOMPANY_009,SDPLDEAL-040,One time Project,,Completed,2025-09-23,2025-06-11,Purchase Order,2025-06-16,2025-07-04,OWNER_001,Renewables,Topography Survey: RGB,NONE,,,1426208.132,1682925.596,,0,,1426208.132,1682925.596,0,,,2057 Acr,,2057,Not billed yet,,,,Open,,,
Alphonse,WOCOMPANY_009,SDPLDEAL-041,One time Project,,Completed,2025-06-11,2025-06-11,Purchase Order,2025-06-02,2025-06-13,OWNER_001,Renewables,"Hydrology, Topography Survey: RGB",NONE,2025-06-17,SDPL/FY25-26/068,443952,523863.36,443952,523863.36,523863.36,0,0,0,,,1,1,0,Fully Billed,,June,,Closed,,,
Alphonse,WOCOMPANY_009,SDPLDEAL-042,One time Project,,Completed,,2025-06-11,Purchase Order,2025-06-02,2025-06-11,OWNER_001,Renewables,"Topography Survey: RGB, Hydrology",NONE,2025-06-17,SDPL/FY25-26/069,881738,1040450.84,881738,1040450.84,895103.4216,0,0,145347.4184,,,1,1,0,Fully Billed,,September,,Closed,,,
Erwin,WOCOMPANY_021,SDPLDEAL-043,One time Project,,Completed,2025-06-15,2025-04-10,Purchase Order,2025-06-16,2025-06-23,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-09-16,SDPL/FY25-26/453,16648.2,19644.876,16648.2,19644.876,,0,0,19644.876,,,50 HA,,50,Fully Billed,,September,,Closed,,,
Tanjiro,WOCOMPANY_005,SDPLDEAL-044,One time Project,,Completed,2025-07-02,2025-04-10,LOA/LOI,2025-06-14,2025-06-23,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-20,SDPL/FY25-26/407,12774.7188,15074.16818,12774.7188,15074.16818,15074.6368,0,0,-0.468616,,,57.55 HA,,57.55,Fully Billed,,August,,Closed,,,
Tanjiro,WOCOMPANY_051,SDPLDEAL-046,One time Project,,Completed,2025-05-05,2025-04-10,Purchase Order,2025-05-22,2025-06-22,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-07-25,SDPL/FY25-26/369,390952.7636,461324.261,390887.404,461247.1367,461247.63,65.3596,77.124328,-0.49328,,2246.97,2186.54 HA,,2186.54,Fully Billed,,July,,Closed,,,
Tanjiro,WOCOMPANY_051,SDPLDEAL-047,One time Project,,Completed,2025-05-26,2025-04-10,Purchase Order,2025-05-15,2025-06-16,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-07-02,SDPL/FY25-26/115,476539.31,562316.3858,469116.7409,553557.7542,506645.9025,7422.56914,8758.631585,46911.85167,,1993.1968,2665 HA,2623.49,41.51,Fully Billed,,July,,Closed,,,
Tanjiro,WOCOMPANY_051,SDPLDEAL-048,One time Project,,Completed,2025-05-13,2025-04-10,Purchase Order,2025-04-14,2025-06-30,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-06-27,SDPL/FY25-26/097,145842.4865,172094.1341,145842.4865,172094.1341,157509.7547,0,0,14584.37937,,815.61,815.6 HA,815.61,-0.01,Fully Billed,,July,,Closed,,,
Tanjiro,WOCOMPANY_051,SDPLDEAL-049,One time Project,,Completed,2025-06-10,2025-04-10,Purchase Order,2025-04-21,2025-07-21,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-07-22,SDPL/FY25-26/363,707388.184,834718.0571,707388.184,834718.0571,763979.732,0,0,70738.32512,,3961.22,3956HA,3956,0,Fully Billed,,September,,Closed,,,
